"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D6","SOD-123","2.907mm","47.7mm","2.907mm","47.7mm","2.907mm","49.7mm","T","90.00","1N4148W"
"R29","0603R","-1.8728mm","31.1594mm","-1.1mm","31.2mm","-1.1108mm","31.1594mm","T","180.00","10K"
"D7","SOT-23","-1.7271mm","27.684mm","-0.8mm","28.7mm","-0.7746mm","28.7mm","T","180.00","BAT54S"
"C20","0603C","1.3564mm","27.7728mm","1.397mm","27mm","1.3564mm","27.0108mm","T","90.00","0.1uF"
"MIKROBUS CONNECTOR","MIKRO_BUS_DSPIC_T","0mm","12.7mm","0mm","0mm","-11.43mm","21.59mm","T","0.00","MIKROBUS DEVICE CONN."
"CN1","1725669","-5.842mm","61.468mm","-8.382mm","60.198mm","-8.382mm","60.198mm","T","360.00","1725669"
"U2","SOT-23","4.9911mm","33.5466mm","4.064mm","32.535mm","4.0386mm","32.5306mm","T","360.00","MCP1754ST-3.3v"
"TP9","TP_KEYSTONE_5001","0mm","3.556mm","0mm","3.556mm","0mm","3.556mm","T","90.00","Test Point Black"
"TP8","TP_KEYSTONE_5001","-3.81mm","50.1542mm","-3.81mm","50.1542mm","-3.81mm","50.1542mm","T","90.00","Test Point Black"
"TP7","TP_KEYSTONE_5000","8.255mm","34.29mm","8.255mm","34.29mm","8.255mm","34.29mm","T","360.00","Test Point Red"
"TP6","TP_KEYSTONE_5000","8.255mm","30.48mm","8.255mm","30.48mm","8.255mm","30.48mm","T","360.00","Test Point Red"
"TP5","TP_KEYSTONE_5003","5.3mm","27.6mm","5.3mm","27.6mm","5.3mm","27.6mm","T","90.00","Test Point Orange"
"TP4","TP_KEYSTONE_5003","-8.2mm","27mm","-8.2mm","27mm","-8.2mm","27mm","T","90.00","Test Point Orange"
"TP3","TP_KEYSTONE_5003","-15.367mm","61.849mm","-15.367mm","61.849mm","-15.367mm","61.849mm","T","90.00","Test Point Orange"
"TP2","TP_KEYSTONE_5003","-17.258mm","48.707mm","-17.258mm","48.707mm","-17.258mm","48.707mm","T","90.00","Test Point Orange"
"TP1","TP_KEYSTONE_5003","12.446mm","60.96mm","12.446mm","60.96mm","12.446mm","60.96mm","T","90.00","Test Point Orange"
"Q4","SOT-23","-8.2594mm","53.0479mm","-9.271mm","53.975mm","-9.2754mm","54.0004mm","T","270.00","2N7002"
"Q2","SOT-23","-6.8199mm","40.3562mm","-7.747mm","39.3446mm","-7.7724mm","39.3402mm","T","360.00","MMBT3906"
"Q3","SOT-23","-16.3786mm","58.7121mm","-15.367mm","57.785mm","-15.3626mm","57.7596mm","T","90.00","PMV48XP"
"Q1","SOT-23","-10.7906mm","40.2971mm","-9.779mm","39.37mm","-9.7746mm","39.3446mm","T","90.00","MMBT3904"
"","MB_Large","-50.8mm","-38.1mm","-16.51mm","26.543mm","-50.8mm","-38.1mm","T","90.00","MikroBusLogo"
"R28","0603R","-6.6092mm","55.9206mm","-7.382mm","55.88mm","-7.3712mm","55.9206mm","T","0.00","10K"
"R27","0603R","-15.4425mm","55.2342mm","-15.4831mm","56.007mm","-15.4425mm","55.9962mm","T","270.00","100K"
"R26","0603R","-13.4214mm","58.9172mm","-13.462mm","59.69mm","-13.4214mm","59.6792mm","T","270.00","100K"
"R25","0603R","-11.2624mm","58.9172mm","-11.303mm","59.69mm","-11.2624mm","59.6792mm","T","270.00","1K"
"R24","0603R","-11.2166mm","55.2558mm","-11.176mm","54.483mm","-11.2166mm","54.4938mm","T","90.00","20R"
"R23","0603R","-13.3756mm","55.2558mm","-13.335mm","54.483mm","-13.3756mm","54.4938mm","T","90.00","20R"
"R22","0603R","-6.6904mm","49.3922mm","-6.731mm","50.165mm","-6.6904mm","50.1542mm","T","270.00","10K"
"R21","0603R","-8.9306mm","49.4138mm","-8.89mm","48.641mm","-8.9306mm","48.6518mm","T","90.00","100K"
"R20","0603R","-12.2692mm","46.6496mm","-13.042mm","46.609mm","-13.0312mm","46.6496mm","T","0.00","100K"
"R19","0603R","-8.382mm","36.538mm","-8.3414mm","35.7652mm","-8.382mm","35.776mm","T","90.00","0R"
"R18","0603R","-2.9272mm","36.5112mm","-2.8866mm","35.7384mm","-2.9272mm","35.7492mm","T","90.00","10K"
"R17","0603R","-11.4572mm","29.2736mm","-12.23mm","29.233mm","-12.2192mm","29.2736mm","T","360.00","10K"
"R16","0603R","-11.5194mm","27.0334mm","-10.7466mm","27.074mm","-10.7574mm","27.0334mm","T","180.00","1K"
"R15","0603R","14.5186mm","57.9012mm","14.478mm","58.674mm","14.5186mm","58.6632mm","T","270.00","10K"
"R14","0603R","14.5186mm","54.3452mm","14.478mm","55.118mm","14.5186mm","55.1072mm","T","270.00","4.99K"
"R13","0603R","6.8078mm","44.8716mm","6.035mm","44.831mm","6.0458mm","44.8716mm","T","360.00","1K"
"R12","0603R","10.9436mm","44.9122mm","10.1708mm","44.8716mm","10.1816mm","44.9122mm","T","360.00","1K"
"R11","0603R","6.8078mm","47.2846mm","6.035mm","47.244mm","6.0458mm","47.2846mm","T","360.00","100K"
"R10","0603R","10.9328mm","47.2846mm","10.16mm","47.244mm","10.1708mm","47.2846mm","T","360.00","100K"
"R9","0603R","2.6562mm","58.7198mm","3.429mm","58.7604mm","3.4182mm","58.7198mm","T","180.00","100K"
"R8","0603R","10.9328mm","49.6976mm","10.16mm","49.657mm","10.1708mm","49.6976mm","T","360.00","200K"
"R7","0603R","6.8078mm","49.6976mm","6.035mm","49.657mm","6.0458mm","49.6976mm","T","360.00","10K"
"R6","0603R","2.667mm","53.7616mm","1.8942mm","53.721mm","1.905mm","53.7616mm","T","360.00","49.9R"
"R5","0603R","2.6562mm","56.1746mm","1.8834mm","56.134mm","1.8942mm","56.1746mm","T","360.00","10K"
"D5","SMA-FL","-15.621mm","41.148mm","-15.621mm","41.148mm","-15.621mm","38.368mm","T","90.00","SS14"
"D4","SMA-FL","-6.858mm","43.942mm","-6.858mm","43.942mm","-9.638mm","43.942mm","T","360.00","SS14"
"D3","SMA-FL","0.127mm","40.3098mm","0.127mm","40.3098mm","2.907mm","40.3098mm","T","180.00","SS14"
"C19","0603C","-11.2166mm","49.4138mm","-11.176mm","48.641mm","-11.2166mm","48.6518mm","T","90.00","0.1uF"
"C18","0805C","-13.3299mm","49.657mm","-13.3299mm","49.657mm","-13.3299mm","48.707mm","T","90.00","22uF"
"C17","0603C","-10.7466mm","32.0378mm","-10.706mm","31.265mm","-10.7466mm","31.2758mm","T","90.00","1500pF"
"C16","0603C","-13.0326mm","32.0486mm","-12.992mm","31.2758mm","-13.0326mm","31.2866mm","T","90.00","0.015uF"
"C15","0603C","-5.585mm","36.538mm","-5.5444mm","35.7652mm","-5.585mm","35.776mm","T","90.00","1uF"
"C14","0603C","16.8504mm","57.9228mm","16.891mm","57.15mm","16.8504mm","57.1608mm","T","90.00","680pF"
"C13","0603C","16.8504mm","54.356mm","16.891mm","53.5832mm","16.8504mm","53.594mm","T","90.00","1000pF"
"C12","0603C","8.8627mm","61.2546mm","8.0899mm","61.214mm","8.1007mm","61.2546mm","T","360.00","0.1uF"
"C11","0603C","2.6778mm","61.2546mm","1.905mm","61.214mm","1.9158mm","61.2546mm","T","360.00","47pF"
"C10","0603C","2.6886mm","51.4756mm","1.9158mm","51.435mm","1.9266mm","51.4756mm","T","360.00","0.1uF"
"C9","0603C","8.8792mm","58.7604mm","9.652mm","58.801mm","9.6412mm","58.7604mm","T","180.00","0.1uF"
"C8","0603C","4.8152mm","36.6624mm","5.588mm","36.703mm","5.5772mm","36.6624mm","T","180.00","1uF"
"C7","0603C","4.826mm","30.5664mm","5.5988mm","30.607mm","5.588mm","30.5664mm","T","180.00","0.1uF"
"C6","0603C","13.4328mm","34.7116mm","12.66mm","34.671mm","12.6708mm","34.7116mm","T","0.00","0.1uF"
"C2","0603C","-5.9284mm","5.08mm","-5.969mm","5.8528mm","-5.9284mm","5.842mm","T","270.00","0.1uF"
"C5","0603C","6.096mm","18.669mm","6.1366mm","17.8962mm","6.096mm","17.907mm","T","90.00","0.1uF"
"R2","0603R","13.4328mm","39.4716mm","12.66mm","39.431mm","12.6708mm","39.4716mm","T","0.00","470R"
"R3","0603R","-3.3884mm","8.4982mm","-3.429mm","9.271mm","-3.3884mm","9.2602mm","T","270.00","330R"
"R4","0603R","-5.9284mm","8.4982mm","-5.969mm","9.271mm","-5.9284mm","9.2602mm","T","270.00","330R"
"C1","0603C","-8.128mm","5.08mm","-8.1686mm","5.8528mm","-8.128mm","5.842mm","T","270.00","1uF"
"R1","0603R","13.4328mm","37.2008mm","12.66mm","37.1602mm","12.6708mm","37.2008mm","T","360.00","10k"
"C4","0603C","-7.1892mm","19.05mm","-7.2298mm","19.8228mm","-7.1892mm","19.812mm","T","270.00","0.1uF"
"D1","LTST-C171","-3.429mm","12.192mm","-3.429mm","12.192mm","-3.429mm","11.142mm","T","90.00","LED Red"
"D2","LTST-C171","-5.9284mm","12.192mm","-5.9284mm","12.192mm","-5.9284mm","11.142mm","T","90.00","LED Green"
"J1","HDR1X6","17.384mm","33.401mm","17.384mm","39.751mm","17.384mm","39.751mm","T","270.00","ICSP"
"C3","0603C","-7.2406mm","22.3126mm","-7.2mm","21.5398mm","-7.2406mm","21.5506mm","T","90.00","0.1uF"
"U1","SSOP-28","-0.0172mm","19.904mm","-0.0172mm","19.904mm","-3.5172mm","24.129mm","T","270.00","dsPIC33CK256MC502"
"FB1","0603FB","6.797mm","42.5044mm","7.5698mm","42.545mm","7.559mm","42.5044mm","T","180.00","FB"
"U3","SOIC-8","8.89mm","54.356mm","6.19mm","56.261mm","6.19mm","56.261mm","T","360.00","MCP6487"
"U4","TSOP-5","-6.9944mm","32.2052mm","-6.9944mm","32.2052mm","-8.3944mm","33.1552mm","T","270.00","MCP6001"

